,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,names,artists
0,0.533,0.638,4,-7.13,1,0.0341,0.202,0,0.0729,0.937,156.663,audio_features,3ohLnESFgYACPMCkoTOzqE,spotify:track:3ohLnESFgYACPMCkoTOzqE,https://api.spotify.com/v1/tracks/3ohLnESFgYACPMCkoTOzqE,https://api.spotify.com/v1/audio-analysis/3ohLnESFgYACPMCkoTOzqE,153760,4,The Twist,['Chubby Checker']
1,0.612,0.924,9,-3.877,1,0.0316,0.159,4.34E-05,0.103,0.96,115.953,audio_features,3i3GeK0qLQybu4ah42YmCY,spotify:track:3i3GeK0qLQybu4ah42YmCY,https://api.spotify.com/v1/tracks/3i3GeK0qLQybu4ah42YmCY,https://api.spotify.com/v1/audio-analysis/3i3GeK0qLQybu4ah42YmCY,295987,4,Smooth (feat. Rob Thomas),"['Santana', 'Rob Thomas']"
2,0.741,0.727,5,-4.174,0,0.151,0.0205,0,0.264,0.37,130.023,audio_features,70dWrqAp30TmWeibQkn0i7,spotify:track:70dWrqAp30TmWeibQkn0i7,https://api.spotify.com/v1/tracks/70dWrqAp30TmWeibQkn0i7,https://api.spotify.com/v1/audio-analysis/70dWrqAp30TmWeibQkn0i7,263360,4,Party Rock Anthem,"['LMFAO', 'Lauren Bennett', 'GoonRock']"
3,0.597,0.463,7,-5.528,1,0.0371,0.824,0,0.107,0.227,115.837,audio_features,41DYHkqBtk7LawsUUnzAMW,spotify:track:41DYHkqBtk7LawsUUnzAMW,https://api.spotify.com/v1/tracks/41DYHkqBtk7LawsUUnzAMW,https://api.spotify.com/v1/audio-analysis/41DYHkqBtk7LawsUUnzAMW,229840,4,You Were Meant For Me,['Jewel']
4,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,audio_features,4vp2J1l5RD4gMZwGFLfRAu,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,https://api.spotify.com/v1/tracks/4vp2J1l5RD4gMZwGFLfRAu,https://api.spotify.com/v1/audio-analysis/4vp2J1l5RD4gMZwGFLfRAu,289133,4,I Gotta Feeling,['Black Eyed Peas']
5,0.578,0.426,2,-9.171,1,0.0289,0.117,0,0.0772,0.275,128.319,audio_features,5VJlvaPufnazmTvt2sHQqc,spotify:track:5VJlvaPufnazmTvt2sHQqc,https://api.spotify.com/v1/tracks/5VJlvaPufnazmTvt2sHQqc,https://api.spotify.com/v1/audio-analysis/5VJlvaPufnazmTvt2sHQqc,266733,4,How Do I Live,['LeAnn Rimes']
6,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,audio_features,11EX5yhxr9Ihl3IN1asrfK,spotify:track:11EX5yhxr9Ihl3IN1asrfK,https://api.spotify.com/v1/tracks/11EX5yhxr9Ihl3IN1asrfK,https://api.spotify.com/v1/audio-analysis/11EX5yhxr9Ihl3IN1asrfK,277573,4,Need You Now,['Lady A']
7,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,audio_features,24lMtPOCzP5g4hrg3NklLa,spotify:track:24lMtPOCzP5g4hrg3NklLa,https://api.spotify.com/v1/tracks/24lMtPOCzP5g4hrg3NklLa,https://api.spotify.com/v1/audio-analysis/24lMtPOCzP5g4hrg3NklLa,220733,4,Just The Way You Are,['Bruno Mars']
8,0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,audio_features,1DqdF42leyFIzqNDv9CjId,spotify:track:1DqdF42leyFIzqNDv9CjId,https://api.spotify.com/v1/tracks/1DqdF42leyFIzqNDv9CjId,https://api.spotify.com/v1/audio-analysis/1DqdF42leyFIzqNDv9CjId,203867,4,Dynamite,['Taio Cruz']
9,0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,audio_features,0CAfXk7DXMnon4gLudAp7J,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400,4,Low (feat. T-Pain),"['Flo Rida', 'T-Pain']"
