,names,uri,artists
0,The Twist,spotify:track:3ohLnESFgYACPMCkoTOzqE,['Chubby Checker']
1,Smooth (feat. Rob Thomas),spotify:track:3i3GeK0qLQybu4ah42YmCY,"['Santana', 'Rob Thomas']"
2,Party Rock Anthem,spotify:track:70dWrqAp30TmWeibQkn0i7,"['LMFAO', 'Lauren Bennett', 'GoonRock']"
3,You Were Meant For Me,spotify:track:41DYHkqBtk7LawsUUnzAMW,['Jewel']
4,I Gotta Feeling,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,['Black Eyed Peas']
5,How Do I Live,spotify:track:5VJlvaPufnazmTvt2sHQqc,['LeAnn Rimes']
6,Need You Now,spotify:track:11EX5yhxr9Ihl3IN1asrfK,['Lady A']
7,Just The Way You Are,spotify:track:24lMtPOCzP5g4hrg3NklLa,['Bruno Mars']
8,Dynamite,spotify:track:1DqdF42leyFIzqNDv9CjId,['Taio Cruz']
9,Low (feat. T-Pain),spotify:track:0CAfXk7DXMnon4gLudAp7J,"['Flo Rida', 'T-Pain']"
10,"Hey, Soul Sister",spotify:track:6mghCOaaSvrke0z1EUVUIf,['Train']
11,TiK ToK,spotify:track:5OMwQFBcte0aWFJFqrr5oj,['Kesha']
12,Rolling in the Deep,spotify:track:1CkvWZme3pRgbzaxZnTl5X,['Adele']
13,We Found Love,spotify:track:1bLG2x4ePXBr6TXFBOmXRk,"['Rihanna', 'Calvin Harris']"
14,Whoomp! (There It Is),spotify:track:4EEGHbMUyS07PNVXSGB7Qg,['Tag Team']
15,Truly Madly Deeply,spotify:track:7xUVverKyPPPAW3sDqXhfi,['Savage Garden']
16,Apologize,spotify:track:6ucR4KfvsBFWCMVFDvyKKl,"['Timbaland', 'OneRepublic']"
17,Hanging By A Moment,spotify:track:0wqOReZDnrefefEsrIGeR4,['Lifehouse']
18,Mack the Knife,spotify:track:4TioZs1Pk7z7x99QXaSZNF,['Bobby Darin']
19,Too Close,spotify:track:2fyTojfPYs67KBWN4WYRX7,['Next']
20,We Belong Together,spotify:track:3LmvfNUQtglbTrydsdIqFU,['Mariah Carey']
21,No One,spotify:track:0JEqGkvUiMTQmFY6sgL9kg,['Alicia Keys']
22,How You Remind Me,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,['Nickelback']
